Name,Company,PriorCareer,YearsWorked,AgeAtEnrollment,University,Country,Domestic/Overseas,QuitJob,ContinueWorking,Funding,Scholarship,EnglishLevel,Graduation,Reason,CareerAfter,Difficulty,Merit,URL,SourceType,Reliability,Notes
zoekazu,日系AI関連企業,AIアプリ開発者,不明,不明,不明,日本,Domestic,No,Yes,No（自費約188万円）,なし（自費）,不明,在学中（2024/4 D1）,若いうちに技術を修めたい,不明,論文リジェクト・夜と休日を研究,技術研鑽・錯覚資産,https://note.com/zoekazu/n/na2059ee95447,note,中,ハンドルネーム
Ryoma Ito,情報通信関連企業,情報通信の技術者,不明,不明,大阪大学,日本,Domestic,No,Yes,あり（休暇の理解）,不明,不明,不明,指導教授が阪大へ異動,NICT主任研究員,仕事・研究・子育ての両立,研究と子育ての両立,https://note.com/itorym/n/n0a4c5a9e05f5,note,中,2017/4入学
おこめさん,不明,不明,不明,不明,京都大学,日本,Domestic,Yes,No,No,授業料減免（申請忘れで一部損失）,不明,在学中（2023/4）,メンタル回復・柔軟なキャリア,不明,生活費確保,時間の融通・海外経験,https://note.com/okome_san/n/n56182aa5c14c,note,中,ハンドルネーム
ys0510,企業,企業研究者,不明,不明,不明,日本,Domestic,No,Yes,不明,不明,不明,2021/3取得,不明,不明,3年間ギリギリ,キャリアの転機,https://ys0510.hatenablog.com/entry/doctor5,個人ブログ,中,J2本+国際学会4本
canard0328,企業研究所,研究所研究員（在学中に部門長昇進）,不明,40代,公立大学（非公表）,日本,Domestic,No,Yes,あり（学費半額×2年）,会社の学費補助,不明,2022/3取得,趣味OSSを研究に発展,企業研究所継続,COVIDで評価データ困難,無理なく取得,https://zenn.dev/canard0328/articles/memorandum-of-phd,Zenn,中,40代
Satoshi Nakamaru,企業研究所,研究所研究員,不明,30歳超,慶應義塾大学,日本,Domestic,No,Yes,No（自費）,なし（自費）,不明,取得（約3.5年）,自身の興味テーマの追究,ZOZO研究員/東大訪問研究員,両立・育休・転勤・体調不良,社外研究者との出会い,https://note.com/ixd/n/n270477257c82,note,中,30歳超で入学
Kobayashi Ken,日系大手企業の研究部門,研究部門（数理最適化）,不明,不明,東京工業大学,日本,Domestic,No,Yes,あり（社費）,会社社費（最大3年）,不明,在学中（2019/4）,業務でORの面白さ再認識,不明,研究時間が限定的,定常収入・学費補助,https://qiita.com/kenkoba2119/items/b4ce105dc006b4fc560d,Qiita,中,数理最適化
薬花子,製薬企業,製薬の研究職,約4-5年（入社5年目に進学）,不明,不明,日本,Domestic,No,Yes,不明,学振DC不採用,不明,取得（社会人4年）,自分の能力を試したい,不明,経済的ハードル・DC不採用,別記事で詳述予定,https://note.com/kusuri_hanako/n/n171d813e4b23,note,中,薬学博士
高橋陸,NTT物性科学基礎研究所,企業研究者,不明,不明,北海道大学,日本,Domestic,No,Yes,不明,不明,不明,2018/3修了,自由な研究環境に魅力,NTT基礎研研究員,不明,自由なテーマ・予算,https://phdiscover.jp/en/phd/article/441,大学ニュース/専門メディア,高,PhDdiscover
落合桂一,NTTドコモ,サービスイノベーション（SNS分析）,不明,不明,東京大学,日本,Domestic,No,Yes,あり,会社支援,不明,2017/9修了,業務のSNS分析を深めたい,ヘルスケアデータ分析,タイムマネジメント,課題設定にリアリティ,https://qiita.com/keiichi_ochiai/items/ac6617f1eaffa5a7d6c5,Qiita,中,2014秋入学
富士通 卓越社会人博士（九州大）,富士通,富士通社員,不明,不明,九州大学,日本,Domestic,No,Yes,あり（給料つき博士）,会社（給与つき博士）,不明,在学中,制度紹介を受けて,富士通継続,不明,説明可能AI研究,https://global.fujitsu/ja-jp/local/blog/article/2023-10-27-01,企業記事,高,氏名非公表
富士通 卓越社会人博士（東京大）,富士通,富士通社員,不明,不明,東京大学,日本,Domestic,No,Yes,あり（給料つき博士）,会社（給与つき博士）,不明,在学中,招聘研究員時に制度紹介,富士通継続,不明,トロント大と共同研究,https://global.fujitsu/ja-jp/local/blog/article/2023-10-27-01,企業記事,高,氏名非公表
今井悠資,民間企業,民間企業勤務,不明,不明,神戸大学,日本,Domestic,No,Yes,不明,不明,英語文献に苦労,2023/3取得,研究者の生き方を身に着けたい,ビジネススクール非常勤,仕事後AM2時まで・英語・学費,思考習得・人脈,https://note.com/omotikuazu/n/n7af2543cdbd4,note,中,経営学
mshdtksk,民間企業,民間企業勤務,不明,不明,不明（名古屋圏）,日本,Domestic,No,Yes,No（自費約200万円）,なし（自費）,不明,取得（4年）,企業とアカデミアのギャップを埋める,企業＋大学非常勤,睡眠3-4h・週2-3徹夜・自費,J2本・特許4件・自信,https://qiita.com/mshdtksk/items/f37b36140d72e9c063ba,Qiita,中,ハンドルネーム
Yoshihiro Ohta,企業研究所,研究所→事業部,不明,不明,電気通信大学,日本,Domestic,No,Yes,あり（業務関連は補助）,会社の学費補助＋報奨金,不明,2020/9取得,キャリア不安の解消,研究所R&D,研究時間制約・異動,進化計算の専門性,https://ohtayo.hatenablog.com/entry/2021/08/11/221643,個人ブログ,中,2017/10-2020/9
つる（Tsuru）,企業研究所,企業研究所,不明,不明,筑波大学,日本,Domestic,No,Yes,あり,会社（論文業績を活用）,不明,2023/3取得,選択肢拡大・社会的評価,同一企業継続,片道3時間・投稿遅延,経済的不安なし・学費圧縮,https://theory-and-me.hatenablog.com/entry/2023/03/27/181058,個人ブログ,中,1年で早期修了
長田惇,デンソーアイティーラボラトリ,入社と同時に進学（新卒）,0年（入社と同時）,不明（修士卒直後）,不明,日本,Domestic,No,Yes,あり（補助金・報奨金7万円）,会社の補助金＋報奨金,不明,2024取得,若いうちに決断,不明,頭の切り替え,裁量労働・在宅で両立,https://d-itlab.co.jp/interview/012/,企業記事,高,2020入社と同時
森安亮介,シンクタンク,パーソル総研→みずほ系シンクタンク研究員,不明,不明,慶應義塾大学,日本,Domestic,No,Yes,不明,不明,不明,2020取得,不明,シンクタンク研究員,学習継続が大変,ジョブクラフティング,https://ryosuke-moriyasu.com/372/,個人ブログ,中,2015-2020
濱口裕,自動車メーカー,車載ソフト開発,約1-2年（新卒2年目）,不明,不明,日本,Domestic,No,Yes,No（上司の理解のみ）,なし,不明,在学中,学問を実務で活かす面白さ,メーカー継続,時間がない,実務が研究のヒント,https://re-katsu.jp/career/knowhow/job/column/detail/id=522,インタビュー記事,中,新卒2年目
ミヤガワ,地方企業,技術者（技術士5部門8科目）,約30年以上,50歳,地方国立大学（社会人選抜）,日本,Domestic,No,Yes,あり（研究への配慮）,不明,英語に大苦戦,2024修了（2年短期）,大学教授からの誘い,技術者継続,論文100本・健康影響・英語,筆頭論文3本・学術賞,https://note.com/landscape_note/n/n071751bdd90d,note,中,50代・研究未経験
鈴木悠,サイバー・グリッド・ジャパン（ラック）,セキュリティコンサル→研究職（NICT出向）,約20年,37歳,情報セキュリティ大学院大学,日本,Domestic,No,Yes,あり（出向制度）,会社（出向制度）,英語スキル習得が課題,2022進学,研究の質を高める・有識者へ,研究職継続,英語・査読通過,総務省TF構成員に,https://www.lac.co.jp/lacwatch/people/20260512_004710.html,企業記事,高,ディスインフォ研究
川口英俊,大手通信企業,企業研究者,約7年,30代半ば,JAIST,日本,Domestic,No,Yes,非公式の配慮のみ,なし（非公式）,不明,取得（3.5年）,キャリアアップ・信頼性,通信企業研究者継続,時間が圧倒的に足りない,生存戦略の確立,https://zenn.dev/hidetoshi/articles/20230401_doctoral-course-strategy,Zenn,中,ML
野村正和,LINEヤフー,検索開発チームリーダー/PM,4年（入社と同時に進学）,不明,名古屋工業大学,日本,Domestic,No,Yes,あり（社会人ドクター支援制度）,会社（週1休暇＋学費支援・2年後から）,不明,2024/9取得,仕事も研究も両立したい,LINEヤフー継続,土日50-75%研究・結婚と両立,希少価値・選択肢拡大,https://note.com/lycorp_recruit/n/n77fa28ea5b45,企業記事,高,2020入社と同時
溶けかけてるうさぎ（MeltingRabbit）,Cookpad,新卒正社員,約2年（2020入社-2022退職）,不明,不明,日本,Domestic,Yes,No,不明,不明,不明,在学中（後期課程）,不明（紆余曲折）,ArkEdge Space起業,月90h残業・過労,社会人経験の価値・経営知識,https://meltingrabbit.com/blog/article/2022030101/,個人ブログ,中,2022/2退職
サトシ（satoblo）,保険会社,システムエンジニア,2年弱,20代後半,不明,日本,Domestic,Yes,No,No,なし（自費）,準備不足（英語が苦手）,2022/3取得,実務が満たされない・キャリア転換,DS→Mikage起業,経済的制約・英語,3年で博士・筆頭4本・海外留学3回,https://satoblo.com/taishoku-hakase/,個人ブログ,中,修士後2年弱
takmin,外資IT/CVベンチャー等,ITインフラSE→CVエンジニア,数年（社会人経て2007入学）,不明,慶應義塾大学,日本,Domestic,Yes,No,一部（初期の半学半勤）,一部（初期の半学半勤）,不明,2014/1取得,キャリア転換・CV分野を俯瞰,フリーランス,時間確保・複数回リジェクト,キャリア転換成功・人脈,https://takmin.hatenablog.com/entry/20140329/1396087917,個人ブログ,中,計7年・途中退職
Aishwarya,国際ホテルブランド,人事マネージャー,2年,不明,London School of Economics (LSE),イギリス,Overseas,Yes,No,不明,不明,堪能（業務で英語使用）,在学中（2022）,研究中心のキャリアへ転向,不明,アカデミアへの適応,実務経験が研究に価値,https://blogs.lse.ac.uk/studentsatlse/2023/11/01/back-to-school-my-experience-of-starting-a-phd-after-quitting-my-job/,大学ブログ,高,心理・行動科学
Gohar Irfan C.,Microsoft,研究ラボ研究員,不明,不明,MIT,アメリカ,Overseas,Yes,No,不明,不明,堪能（Microsoft研究職）,在学中（2023）,好奇心駆動の研究・教授志望,不明,高給を捨てる逡巡,世界的専門家・高リスク研究,https://oge.mit.edu/why-i-left-the-tech-industry-for-grad-school/,大学ブログ,高,EECS
